rank,rank_last_week,weeks_on_list,primary_isbn13,publisher,description,title,author,book_image,amazon_product_url,week,nyt_list
8,0,1,9780399181375,Ballantine,"After dealing with loss and setbacks, two sisters take risks on dreams and love.",A WALK ALONG THE BEACH,DEBBIE MACOMBER,https://storage.googleapis.com/du-prd/books/images/9780399181368.jpg,https://www.amazon.com/dp/0399181369?tag=NYTBSREV-20,2020-08-02,Combined Print & E-Book Fiction
12,0,1,9781538752388,Grand Central,"Cain Lemaire, an ex-Secret Service agent from New Orleans, gets in the thick of things as the head of security for a chief executive in Tokyo.",CAJUN JUSTICE,JAMES PATTERSON AND TUCKER AXUM III,https://storage.googleapis.com/du-prd/books/images/9781538752364.jpg,https://www.amazon.com/dp/1538752360?tag=NYTBSREV-20,2020-08-02,Combined Print & E-Book Fiction
14,0,1,9780812997439,Random House,The glories and misadventures of a 1960s British band told from several perspectives with cameos by real-life musicians.,UTOPIA AVENUE,DAVID MITCHELL,https://storage.googleapis.com/du-prd/books/images/9780812997439.jpg,https://www.amazon.com/dp/0812997433?tag=NYTBSREV-20,2020-08-02,Combined Print & E-Book Fiction
3,0,1,9780316494403,jimmy patterson,"Ten years after Maximum Ride, a new hero emerges in a postapocalyptic New York City.",HAWK,JAMES PATTERSON,https://storage.googleapis.com/du-prd/books/images/9780316494403.jpg,https://www.amazon.com/dp/0316494402?tag=NYTBSREV-20,2020-07-26,Young Adult Hardcover
3,0,1,9780593099759,Berkley,The fourth book in the Torpedo Ink series. A biker wants to know what a local librarian is hiding.,DESOLATION ROAD,CHRISTINE FEEHAN,https://storage.googleapis.com/du-prd/books/images/9780593099759.jpg,https://www.amazon.com/dp/0593099753?tag=NYTBSREV-20,2020-07-26,Combined Print & E-Book Fiction
5,0,1,9781984812582,Putnam,"The forbidden love between Bastien and Celine flourishes, but with dire consequences.",THE DAMNED,RENÉE AHDIEH,https://storage.googleapis.com/du-prd/books/images/9781984812582.jpg,https://www.amazon.com/dp/1984812580?tag=NYTBSREV-20,2020-07-26,Young Adult Hardcover
6,0,1,9781524743475,Dutton,Mysterious books hint at what caused the untimely demise of April May and the sudden disappearance of robots known as the Carls.,A BEAUTIFULLY FOOLISH ENDEAVOR,HANK GREEN,https://storage.googleapis.com/du-prd/books/images/9781524743475.jpg,https://www.amazon.com/dp/152474347X?tag=NYTBSREV-20,2020-07-26,Combined Print & E-Book Fiction
12,0,1,9781250142917,St. Martin's,The 12th book in the Kate Burkholder series. A cop goes into hiding on an Amish widower’s farm while a killer lies in wait.,OUTSIDER,LINDA CASTILLO,https://storage.googleapis.com/du-prd/books/images/9781250142917.jpg,https://www.amazon.com/dp/125014289X?tag=NYTBSREV-20,2020-07-26,Combined Print & E-Book Fiction
15,0,1,9780062914132,Morrow,Natalie Harper takes over the care of her mother’s bookshop and her ailing grandfather.,THE LOST AND FOUND BOOKSHOP,SUSAN WIGGS,https://storage.googleapis.com/du-prd/books/images/9780062914132.jpg,https://www.amazon.com/dp/006291409X?tag=NYTBSREV-20,2020-07-26,Combined Print & E-Book Fiction
4,0,1,9780063048126,Balzer + Bray,"The Creekwood High crew, now freshmen in different colleges, keep in touch via email.","LOVE, CREEKWOOD",BECKY ALBERTALLI,https://storage.googleapis.com/du-prd/books/images/9780063048126.jpg,https://www.amazon.com/dp/0063048124?tag=NYTBSREV-20,2020-07-19,Young Adult Hardcover
4,0,1,9780385546287,Doubleday,A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.,SEX AND VANITY,KEVIN KWAN,https://storage.googleapis.com/du-prd/books/images/9780385546270.jpg,https://www.amazon.com/dp/0385546270?tag=NYTBSREV-20,2020-07-19,Combined Print & E-Book Fiction
10,0,1,9780525520597,Knopf,Complications ensue when a New York journalist downshifts to become a mom in a small town and hires a senior at the local women’s college to babysit.,FRIENDS AND STRANGERS,J COURTNEY SULLIVAN,https://storage.googleapis.com/du-prd/books/images/9780525520597.jpg,https://www.amazon.com/dp/0525520597?tag=NYTBSREV-20,2020-07-19,Combined Print & E-Book Fiction
12,0,1,9781524745172,Dutton,When Maggie Holt inherits the Vermont estate that was the setting of her father’s horror memoir she is confronted by some of the people and relics he chronicled.,HOME BEFORE DARK,RILEY SAGER,https://storage.googleapis.com/du-prd/books/images/9781524745172.jpg,https://www.amazon.com/dp/1524745170?tag=NYTBSREV-20,2020-07-19,Combined Print & E-Book Fiction
14,0,1,9780525620785,Del Rey,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden.",MEXICAN GOTHIC,SILVIA MORENO-GARCIA,https://storage.googleapis.com/du-prd/books/images/9780525620785.jpg,https://www.amazon.com/dp/0525620788?tag=NYTBSREV-20,2020-07-19,Combined Print & E-Book Fiction
15,0,1,9780062691996,Avon,The third book in the Bareknuckle Bastards series.,DARING AND THE DUKE,SARAH MACLEAN,https://storage.googleapis.com/du-prd/books/images/9780062691996.jpg,https://www.amazon.com/dp/0063006499?tag=NYTBSREV-20,2020-07-19,Combined Print & E-Book Fiction
3,0,1,9781492678892,Sourcebooks Fire,"Two girls, one Black and one white, form a bond during a racially charged riot.",I'M NOT DYING WITH YOU TONIGHT,KIMBERLY JONES AND GILLY SEGAL,https://storage.googleapis.com/du-prd/books/images/9781492678892.jpg,https://www.amazon.com/dp/1492678899?tag=NYTBSREV-20,2020-07-12,Young Adult Hardcover
10,0,1,9781728215730,Sourcebooks Landmark,Claire Cook escapes from living with her quick-tempered husband and assumes another woman’s identity.,THE LAST FLIGHT,JULIE CLARK,https://storage.googleapis.com/du-prd/books/images/9781728215723.jpg,https://www.amazon.com/dp/1728215722?tag=NYTBSREV-20,2020-07-12,Combined Print & E-Book Fiction
13,0,1,9780593100837,Berkley,Olivia Monroe’s past is uncovered when her relationship with a junior senator is made public.,PARTY OF TWO,JASMINE GUILLORY,https://storage.googleapis.com/du-prd/books/images/9780593100820.jpg,https://www.amazon.com/dp/0593100824?tag=NYTBSREV-20,2020-07-12,Combined Print & E-Book Fiction
1,0,26,9780711245211,Frances Lincoln,,THIS BOOK IS ANTI-RACIST,TIFFANY JEWELL,https://storage.googleapis.com/du-prd/books/images/9780711245211.jpg,https://www.amazon.com/dp/0711245215?tag=NYTBSREV-20,2020-07-05,Young Adult Paperback Monthly
