title,author,urls,avg_rating,num_ratings,date_published,booktok_popularity
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,https://www.goodreads.com/book/show/10429045-shatter-me,3.92,"                454,859",2011,30
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly Jackson,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,4.37,"                272,194",2019,31
"Red Queen (Red Queen, #1)",Victoria Aveyard,https://www.goodreads.com/book/show/22328546-red-queen,4.03,"                796,398",2015,32
The Midnight Library (Hardcover),Matt Haig,https://www.goodreads.com/book/show/52578297-the-midnight-library,4.05,"                978,099",2020,33
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,4.48,"                271,089",2020,34
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,https://www.goodreads.com/book/show/7896527-throne-of-glass,4.19,"                845,287",2012,35
"We Hunt the Flame (Sands of Arawiya, #1)",Hafsah Faizal,https://www.goodreads.com/book/show/36492488-we-hunt-the-flame,3.95,"                58,883",2019,36
Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,4.24,"                613,331",2019,37
"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller,https://www.goodreads.com/book/show/33643994-daughter-of-the-pirate-king,4.02,"                113,261",2017,38
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,4.61,"                716,905",2016,39
Normal People (Hardcover),Sally Rooney,https://www.goodreads.com/book/show/41057294-normal-people,3.84,"                839,409",2018,40
The Priory of the Orange Tree (Kindle Edition),Samantha Shannon,https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree,4.23,"                96,990",2019,41
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying,4.01,"                538,374",2017,42
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,https://www.goodreads.com/book/show/22299763-crooked-kingdom,4.61,"                444,874",2016,43
"The Atlas Six (The Atlas, #1)",Olivie Blake,https://www.goodreads.com/book/show/50520939-the-atlas-six,3.91,"                52,136",2020,44
November 9 (Paperback),Colleen Hoover,https://www.goodreads.com/book/show/25111004-november-9,4.33,"                363,015",2015,45
To Kill a Kingdom (Hardcover),Alexandra Christo,https://www.goodreads.com/book/show/34499221-to-kill-a-kingdom,3.81,"                122,939",2018,46
"The Deal (Off-Campus, #1)",Elle Kennedy,https://www.goodreads.com/book/show/24920901-the-deal,4.28,"                366,170",2015,47
"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,https://www.goodreads.com/book/show/55659629-it-happened-one-summer,4.10,"                157,596",2021,48
"Neon Gods (Dark Olympus, #1)",Katee Robert,https://www.goodreads.com/book/show/54659771-neon-gods,3.75,"                84,438",2021,49
"Neon Gods (Dark Olympus, #1)",Katee Robert,https://www.goodreads.com/book/show/54659771-neon-gods,3.75,"                84,438",2021,50
"A Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,4.40,"                316,371",2021,51
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,4.43,"                573,354",2017,52
Legendborn (The Legendborn Cycle #1),Tracy Deonn,https://www.goodreads.com/book/show/50892338-legendborn,4.42,"                57,584",2020,53
The House in the Cerulean Sea (Kindle Edition),T.J. Klune,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,4.45,"                298,746",2020,54
"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renée Ahdieh,https://www.goodreads.com/book/show/18798983-the-wrath-and-the-dawn,4.08,"                156,415",2015,55
A Little Life (Hardcover),Hanya Yanagihara,https://www.goodreads.com/book/show/22822858-a-little-life,4.33,"                353,385",2015,56
"The Sweetest Oblivion (Made, #1)",Danielle Lori,https://www.goodreads.com/book/show/39083635-the-sweetest-oblivion,4.11,"                122,060",2018,57
"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,https://www.goodreads.com/book/show/43204703-a-curse-so-dark-and-lonely,4.04,"                113,086",2019,58
"The Wicked King (The Folk of the Air, #2)",Holly Black,https://www.goodreads.com/book/show/26032887-the-wicked-king,4.34,"                391,411",2019,59
