num_pages,top_genre
389 pages,Romance
343 pages,Romance
658 pages,Fantasy
336 pages,LGBT
414 pages,Romance
376 pages,Fantasy
384 pages,Young Adult
560 pages,Fantasy
354 pages,Romance
453 pages,Historical
336 pages,Romance
496 pages,Fantasy
464 pages,Nonfiction
563 pages,Young Adult
624 pages,Fantasy
449 pages,Classics
308 pages,Thriller
88 pages,Polyamorous
464 pages,Classics
378 pages,Thriller
333 pages,Nonfiction
345 pages,Historical
288 pages,Nonfiction
208 pages,Fantasy
121 pages,Fantasy
362 pages,Fantasy
368 pages,Romance
384 pages,Science Fiction
352 pages,Science Fiction
506 pages,Fantasy
389 pages,Fiction
463 pages,Mystery
486 pages,Fantasy
470 pages,Historical
765 pages,Romance
504 pages,Romance
691 pages,Fantasy
256 pages,Poetry
327 pages,Horror
284 pages,Fantasy
321 pages,Mystery
688 pages,Fantasy
166 pages,Classics
441 pages,Young Adult
304 pages,Polyamorous
336 pages,Romance
467 pages,Science Fiction
544 pages,Fantasy
343 pages,Romance
396 pages,Polyamorous
893 pages,Fantasy
414 pages,Romance
368 pages,LGBT
384 pages,Fantasy
544 pages,Fantasy
447 pages,Fantasy
432 pages,Fantasy
290 pages,Young Adult
352 pages,Fantasy
368 pages,Young Adult
421 pages,Fantasy
None,Romance
None,Romance
436 pages,Romance
281 pages,Romance
384 pages,Fantasy
322 pages,Romance
354 pages,Fantasy
None,Romance
None,Polyamorous
