,title,author
923,"Tools of Engagement (Hot & Hammered, #3)",Tessa Bailey
924,Gallant (Hardcover),V.E. Schwab
925,My Name Is Pink (Kindle Edition),Veronica Lancet
926,"Make Me Yours (Bellamy Creek, #2)",Melanie Harlow
927,"Mindf*ck Series (Mindf*ck, #1-5)",S.T. Abby
928,Forget Me Not (Paperback),Melissa Morgan
929,Dear Enemy (Kindle Edition),Kristen Callihan
930,"The Villain (Boston Belles, #2)",L.J. Shen
931,The Reading List (Hardcover),Sara Nisha Adams
932,"Drive Me Wild (Bellamy Creek, #1)",Melanie Harlow
933,A Risk on Forever (Paperback),N.S. Perkins
934,Skin of the Sea (Skin of the Sea #1),Natasha Bowen
935,"Model Behavior (Wrecked Roommates, #1)",Kelsie Rae
936,"Born, Darkly (Darkly, Madly Duet, #1)",Trisha Wolfe
937,Dirty Curve (Kindle Edition),Meagan Brandy
938,Grand Lies (The Promise Duet #1),J.C. Hawke
939,She Gets the Girl (Hardcover),Rachael Lippincott
940,"Nikolai: A Mafia Prince Romance (Russian Mob Chronicles, #1)",Shandi Boyes
941,"Ruthless Empire (Royal Elite, #6)",Rina Kent
942,"Protecting You (Bailey Brothers, #1)",Claire Kingsley
943,Someone You Love (Paperback),Kristen Granata
944,Homesick for Another World (Hardcover),Ottessa Moshfegh
945,"Fated Throne (Zodiac Academy, #6)",Caroline Peckham
946,"The Assassin and the Pirate Lord (Throne of Glass, #0.1)",Sarah J. Maas
947,"Riot House (Crooked Sinners, #1)",Callie Hart
948,Fangirl (Kindle Edition),Rainbow Rowell
949,"Escaping Conviction (Conviction, #1)",Greer Rivers
950,Balance (Off Balance #1),Lucia Franco
951,Baby & the Late Night Howlers (Sweet Omegaverse #1),Kathryn Moon
952,Bought (Highest Bidder #1),Lauren Landish
953,"Cyanide (Surface Rust, #1)",Ella Fields
954,The Road Trip (Hardcover),Beth O'Leary
955,Little Dove (Kindle Edition),Layla Frost
956,The Kind Worth Killing (Hardcover),Peter Swanson
957,"Ensnared (The Spider's Mate, #1)",Tiffany Roberts
958,"Glow (The Plated Prisoner, #4)",Raven Kennedy
959,When Breath Becomes Air (Kindle Edition),Paul Kalanithi
960,Klara and the Sun (Hardcover),Kazuo Ishiguro
961,"Barbarian Lover (Ice Planet Barbarians, #3)",Ruby Dixon
962,The Mothers (Hardcover),Brit Bennett
963,Lola & the Millionaires: Part One (Sweet Omegaverse #2),Kathryn Moon
964,Cultish: The Language of Fanaticism (Hardcover),Amanda Montell
965,"Hero (Hero, #1)",Samantha Young
966,"Immoral Confessions (Boys of St. Augustine, #1)",R. Holmes
967,"Detransition, Baby (Hardcover)",Torrey Peters
968,"Him (Him, #1)",Sarina Bowen
969,Ghosts (Hardcover),Dolly Alderton
970,"The Witch King (The Witch King, #1)",H.E. Edgmon
971,"The Winter King (Weathermages of Mystral, #1)",C.L. Wilson
972,Yolk,Mary H.K. Choi
973,"Curse of the Night Witch (Emblem Island, #1)",Alex Aster
974,Misconduct (Paperback),Penelope Douglas
975,The Chosen and the Beautiful (Hardcover),Nghi Vo
976,"Hunting Prince Dracula (Stalking Jack the Ripper, #2)",Kerri Maniscalco
977,Hush Hush (Kindle Edition),Lucia Franco
978,"Namesake (Fable, #2)",Adrienne Young
979,"Wake, Siren: Ovid Resung (Paperback)",Nina MacLaughlin
980,"Havoc at Prescott High (The Havoc Boys, #1)",C.M. Stunich
981,On the Edge (Paperback),Joanna Mazurkiewicz
982,Love at First Fight (Kindle Edition),Carrie Aarons
983,Cast in Firelight (Hardcover),Dana Swift
984,"When Wishes Bleed (When Wishes Bleed, #1)",Casey L. Bond
985,Sometimes I Lie (Paperback),Alice Feeney
986,"A Heart of Blood and Ashes (A Gathering of Dragons, #1)",Milla Vane
987,"Playing with Monsters (Playing with Monsters, #1)",Amelia Hutchins
988,"Wicked Fox (Gumiho, #1)",Kat Cho
989,"Devious Lies (Cruel Crown, #1)",Parker S. Huntington
990,Station Eleven (Hardcover),Emily St. John Mandel
991,Sharp Objects (Paperback),Gillian Flynn
992,82년생 김지영 (Hardcover),Cho Nam-Joo
993,Severance (Hardcover),Ling Ma
994,"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty
995,Sing Me Forgotten (Hardcover),Jessica S. Olson
996,"Dark Shores (Dark Shores, #1)",Danielle L. Jensen
997,The Sword of Kaigen (Kindle Edition),M.L. Wang
998,"Twisted Loyalties (The Camorra Chronicles, #1)",Cora Reilly
999,"Mr. Masters (Mr. Series, #1)",T.L. Swan
1000,This Time Next Year (Kindle Edition),Sophie Cousens
1001,Chosen Ones (The Chosen Ones #1),Veronica Roth
1002,The Wife Upstairs (Hardcover),Rachel Hawkins
1003,The Hunting Party (Paperback),Lucy Foley
1004,The Gravity of Us (Hardcover),Phil Stamper
1005,"Sea Witch (Sea Witch, #1)",Sarah Henning
1006,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition),James Clear
1007,Midnight Sun (Hardcover),Stephenie Meyer
1008,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer
1009,"Broken Knight (All Saints High, #2)",L.J. Shen
1010,"The Hunter (Boston Belles, #1)",L.J. Shen
1011,"The Beauty of Darkness (The Remnant Chronicles, #3)",Mary E. Pearson
1012,Ruinsong (Hardcover),Julia Ember
1013,"Beyond the Ruby Veil (Beyond the Ruby Veil, #1)",Mara Fitzgerald
1014,"Outlander (Outlander, #1)",Diana Gabaldon
1015,With the Fire on High (ebook),Elizabeth Acevedo
1016,"The Year of the Witching (Bethel, #1)",Alexis Henderson
1017,"Falling Kingdoms (Falling Kingdoms, #1)",Morgan Rhodes
1018,"Snow Like Ashes (Snow Like Ashes, #1)",Sara Raasch
1019,My Killer Vacation (ebook),Tessa Bailey
1020,"Ruin (Dark Island Scots, #1)",Jolie Vines
1021,"Hot Vampire Next Door: Season One (Midnight Harbor, #1)",Nikki St. Crowe
1022,"Melt for Us (Holiday Masked Men, #2)",Molly Doyle
1023,"Vipers and Virtuosos (Monsters & Muses, #2)",Sav R. Miller
1024,The School for Good Mothers (Hardcover),Jessamine Chan
1025,River Wild (ebook),Samantha Towle
1026,"There Is No Devil (Sinners Duet, #2)",Sophie Lark
1027,"Empire of Desire (Empire, #1)",Rina Kent
1028,"King of Corium (Corium University Trilogy, #1)",C. Hallman
1029,"Bloody Heart (Brutal Birthright, #4)",Sophie Lark
1030,"This Is Crazy (This is, #1)",Natasha Madison
1031,"Lady of Darkness (Lady of Darkness, #1)",Melissa K. Roehrich
1032,"Change on the Fly (Totally Pucked, #1)",Maren Moore
1033,The Psycho (The Soldiers of Anarchy #1),Nikki J. Summers
1034,Inevitable (Stonewood Brothers #1),Shain Rose
1035,First Semester (Campus Tales #1),Q.B. Tyler
1036,Choosing Theo (Clecanian #1),Victoria Aveline
1037,Lilah (ebook),Ashlyn Montgomery
1038,"Riggs (The Kings of Retribution, Louisiana Chapter, #1)",Sandy Alvarez
1039,"Carnal Urges (Queens & Monsters, #2)",J.T. Geissinger
1040,"Filthy Rich (The Five Points' Mob Collection, #2)",Serena Akeroyd
1041,"Reign of a King (Kingdom Duet, #1)",Rina Kent
1042,Unlawful Temptations (Star-Crossed Book One),Alexandria Lee
1043,"The Rebel (Kingmakers, #2)",Sophie Lark
1044,The Masks We Wear (Kindle Edition),Lee Jacquot
1045,"If the Shoe Fits (Meant to Be, #1)",Julie Murphy
1046,Hating the Boss (paperback),Kristen Granata
1047,"When Heroes Fall (Anti-Heroes in Love, #1)",Giana Darling
1048,"Gods & Monsters (Gods & Monsters, #1)",Janie Marie
1049,Maybe in Another Life (Paperback),Taylor Jenkins Reid
1050,"Wolf (The Brotherhood, #1)",Penelope Black
1051,"Fighting Conviction (Conviction, #2)",Greer Rivers
1052,"Bitter Heat (Singed, #1)",Mia Knight
1053,"Twisted Pride (The Camorra Chronicles, #3)",Cora Reilly
1054,"Idol (VIP, #1)",Kristen Callihan
1055,"Puck Me Secretly (Vancouver Wolves Hockey, #1)",Odette Stone
1056,"Monster in His Eyes (Monster in His Eyes, #1)",J.M. Darhower
1057,"Rival (Fall Away, #2)",Penelope Douglas
1058,In the Ravenous Dark (Hardcover),A.M. Strickland
1059,"Addicted After All (Addicted, #5)",Krista Ritchie
1060,Captivated (Kindle Edition),Tessa Bailey
1061,"Last (Copperslane, #1)",Garnet Christie
1062,Built to Fall (Kindle Edition),Julia Wolf
1063,"The Sea Witch (Wicked Villains, #5)",Katee Robert
1064,The Princess Trap (Paperback),Talia Hibbert
1065,The Push (Hardcover),Ashley Audrain
1066,Some Kind of Perfect (Calloway Sisters #5),Krista Ritchie
1067,Signs of Cupidity (Heart Hassle #1),Raven Kennedy
1068,"Phoenix Unbound (Fallen Empire, #1)",Grace Draven
1069,"City in Embers (Collector, #1)",Stacey Marie Brown
1070,"The Kingdom of Copper (The Daevabad Trilogy, #2)",S.A. Chakraborty
1071,"La Mémoire de Babel (La Passe-Miroir, #3)",Christelle Dabos
1072,"The Heart of Betrayal (The Remnant Chronicles, #2)",Mary E. Pearson
1073,My Best Friend's Exorcism (Kindle Edition),Grady Hendrix
1074,"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab
1075,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker
1076,Baby Teeth (Hardcover),Zoje Stage
1077,The Last True Poets of the Sea (Hardcover),Julia Drake
1078,The Places I've Cried in Public (Kindle Edition),Holly Bourne
1079,"The Never Tilting World (The Never Tilting World, #1)",Rin Chupeco
1080,The Only Good Indians (Hardcover),Stephen Graham Jones
1081,"The Program (The Program, #1)",Suzanne Young
1082,Jane Eyre (Paperback),Charlotte Brontë
1083,Lock Every Door (ebook),Riley Sager
1084,The Great Alone (Kindle Edition),Kristin Hannah
1085,"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin
1086,"Neverwhere (London Below, #1)",Neil Gaiman
1087,Death in Her Hands (Hardcover),Ottessa Moshfegh
1088,My Favorite Half-Night Stand (Paperback),Christina Lauren
1089,Romanov (Hardcover),Nadine Brandes
1090,"The Language of Thorns: Midnight Tales and Dangerous Magic (Grishaverse, #0.5, 2.5, 2.6)",Leigh Bardugo
1091,Switched (Trylle #1),Amanda Hocking
1092,Sawkill Girls (Hardcover),Claire Legrand
1093,The City We Became (Hardcover),N.K. Jemisin
1094,"Good Gone Bad (The Fallen Men, #3)",Giana Darling
1095,"Until Friday Night (The Field Party, #1)",Abbi Glines
1096,The Whisper Man (Hardcover),Alex North
1097,The Turn of the Key (Hardcover),Ruth Ware
1098,Stolen Songbird (The Malediction Trilogy #1),Danielle L. Jensen
1099,The Unrequited (Paperback),Saffron A. Kent
1100,My Heart and Other Black Holes (Kindle Edition),Jasmine Warga
1101,Rebecca (ebook),Daphne du Maurier
1102,When We Collided (Hardcover),Emery Lord
1103,"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman
1104,"Broken Throne (Red Queen, #4.5)",Victoria Aveyard
1105,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare
1106,Winterwood (Hardcover),Shea Ernshaw
1107,"Ruthless Knight (Royal Hearts Academy, #2)",Ashley Jade
1108,"The Girl in the Tower (The Winternight Trilogy, #2)",Katherine Arden
1109,"The Other Side of the Sky (The Other Side of the Sky, #1)",Amie Kaufman
1110,Love From A to Z (Kindle Edition),S.K. Ali
1111,"These Feathered Flames (These Feathered Flames, #1)",Alexandra Overy
1112,She's Too Pretty to Burn (Hardcover),Wendy Heard
1113,A Kingdom of Exiles (Outcast #1),S.B. Nova
1114,The Leaving (Hardcover),Tara Altebrando
1115,Emergency Contact (Hardcover),Mary H.K. Choi
1116,"The Princess Will Save You (Kingdoms of Sand and Sky, #1)",Sarah Henning
1117,Everyone in This Room Will Someday Be Dead (Hardcover),Emily R. Austin
1118,Pack Up the Moon (Paperback),Kristan Higgins
1119,The Four Leaf (Kindle Edition),Lee Jacquot
1120,Say You Swear,Meagan Brandy
1121,"City of Gods and Monsters (House of Devils, #1)",Kayla Edwards
1122,"Make Me Lie (Rich Demons of Darkwood, #1)",C.R. Jane
1123,The Book of Azrael (Gods and Monsters #1),Amber Nicole
1124,Set on You (Paperback),Amy Lea
1125,"Empire of Sin (Empire, #2)",Rina Kent
1126,Darling Girl: A Novel of Peter Pan (Hardcover),Liz Michalski
1127,"The Secrets in Shadow and Blood (Season of the Vampire, #1; Fae Guardians, #4)",Lana Pecherczyk
1128,The Girl Who Fell Beneath the Sea (Hardcover),Axie Oh
1129,"A Broken Blade (The Halfling Saga, #1)",Melissa Blair
1130,My Best Friend's Sister (Kindle Edition),Q.B. Tyler
1131,"Broken Bonds (The Bonds that Tie, #1)",J. Bree
1132,When I Was Yours (Kindle Edition),Samantha Towle
1133,There's Always Someday (Paperback),Harloe Rae
1134,"Until Tomorrow Comes (Beauty in Lies, #1)",Adelaide Forrest
1135,"The Bully (Kingmakers, #3)",Sophie Lark
1136,The Final Girl Support Group (Hardcover),Grady Hendrix
1137,"Wounded Kiss (To Be Claimed, #1)",Willow Winters
1138,"The Confession Duet (Club Alias, #1; Confession Duet, #1-2)",K.D. Robichaux
1139,Keeping My Bride (Kindle Edition),Angela Snyder
1140,"Prince Charming (Cinderella, #2)",K. Webster
1141,Inevitable (Kindle Edition),Kristen Granata
1142,"Saint (Priest, #3)",Sierra Simone
1143,"Wreck & Ruin (Blue Angels Motorcycle Club, #1)",Emma Slate
1144,"Famine (The Four Horsemen, #3)",Laura Thalassa
1145,"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn
1146,"Powerless (Powerless, #1)",Lauren Roberts
1147,Paradise (The Paradise Club #1),J.A. Low
1148,"The Assassin and the Underworld (Throne of Glass, #0.4)",Sarah J. Maas
1149,We Have Always Lived in the Castle (Paperback),Shirley Jackson
1150,Dynasty (Boys of Winter #1),Sheridan Anne
1151,"The Gilded Cage (The Prison Healer, #2)",Lynette Noni
1152,The Marrow Thieves (Paperback),Cherie Dimaline
1153,Less (Kindle Edition),Andrew Sean Greer
1154,The Fae King's Curse (Between Dawn and Dusk #1),Jamie Schlosser
1155,"Malice (Malice Mafia, #1)",Coralee June
1156,Code Name Verity (Paperback),Elizabeth Wein
1157,"Hero (The Morgan Brothers, #1)",Lauren Rowe
1158,"Devious Little Liars (Saint View High, #1)",Elle Thorpe
1159,The Argonauts (Hardcover),Maggie Nelson
1160,Stardust (Paperback),Neil Gaiman
1161,The Anthropocene Reviewed (Hardcover),John Green
1162,"Mr. Sin (Sin, #1)",S.J. Tilly
1163,"The Takeover (The Miles High Club, #2)",T.L. Swan
1164,"Stalked by the Kraken (Monstrous Matches, #1)",Lillian Lark
1165,"Throne of Power (Throne Duet, #1)",Rina Kent
1166,The Undocumented Americans (Hardcover),Karla Cornejo Villavicencio
1167,"Beneath the Stars (Sugarlake, #1)",Emily McIntire
1168,When Stars Burn Out (Paperback),Carrie Aarons
1169,Lord of Eternal Night (Darkmourn Universe #1),Ben Alderson
1170,The Taking of Jake Livingston (Hardcover),Ryan Douglass
1171,The Virgin Suicides (Paperback),Jeffrey Eugenides
1172,"Cruel King (Royal Elite, #0)",Rina Kent
1173,The Dictionary of Lost Words (Paperback),Pip Williams
1174,If This Gets Out (Hardcover),Sophie Gonzales
1175,Binding 13 (Boys of Tommen #1),Chloe Walsh
1176,The Girls (Hardcover),Emma Cline
1177,Beasts of Prey (Hardcover),Ayana Gray
1178,"Conventionally Yours (True Colors, #1)",Annabeth Albert
1179,How to Fail at Flirting (Paperback),Denise Williams
1180,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang
1181,The Ghosts We Keep (Hardcover),Mason Deaver
1182,Underneath the Sycamore Tree (Kindle Edition),B. Celeste
1183,"Wicked (A Wicked Trilogy, #1)",Jennifer L. Armentrout
1184,How It Feels to Float (Hardcover),Helena Fox
1185,"Les Disparus du Clairdelune (La Passe-Miroir, #2)",Christelle Dabos
1186,I Need You To Hate Me (Kindle Edition),Genicious Fox
1187,"Capturing the Devil (Stalking Jack the Ripper, #4)",Kerri Maniscalco
1188,"Love Her or Lose Her (Hot & Hammered, #2)",Tessa Bailey
1189,"The Wolf of Oren-Yaro (Chronicles of the Bitch Queen, #1)",K.S. Villoso
1190,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma (Hardcover)",Bessel van der Kolk
1191,New Moon (Hardcover),Stephenie Meyer
1192,"A Conjuring of Light (Shades of Magic, #3)",V.E. Schwab
1193,Little Women (Paperback),Louisa May Alcott
1194,The Couple Next Door (Hardcover),Shari Lapena
1195,"Aries (The Zodiac Queen, #1)",Gemma James
1196,Wuthering Heights (Paperback),Emily Brontë
1197,They Never Learn (Hardcover),Layne Fargo
1198,The Five: The Untold Lives of the Women Killed by Jack the Ripper (Hardcover),Hallie Rubenhold
1199,The Mercies (Hardcover),Kiran Millwood Hargrave
1200,Hood Feminism: Notes from the Women That a Movement Forgot (Hardcover),Mikki Kendall
1201,Pet (Hardcover),Akwaeke Emezi
1202,The Lives of Saints (Grishaverse),Leigh Bardugo
1203,Elatsoe (Hardcover),Darcie Little Badger
1204,"Bringing Down the Duke (A League of Extraordinary Women, #1)",Evie Dunmore
1205,The Ones We're Meant to Find (Kindle Edition),Joan He
1206,"The First Sister (The First Sister Trilogy, #1)",Linden A. Lewis
1207,"The Demon King (Seven Realms, #1)",Cinda Williams Chima
1208,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews
1209,The Devil and the Dark Water (Hardcover),Stuart Turton
1210,"House of Bastiion (The Haidren Legacy, #1)",K.L. Kolarich
1211,City of Girls (Hardcover),Elizabeth Gilbert
1212,"Storm and Silence (Storm and Silence, #1)",Robert Thier
1213,"My Darling Arrow (St. Mary’s Rebels, #1)",Saffron A. Kent
1214,"Theft of Swords (The Riyria Revelations, #1-2)",Michael J. Sullivan
1215,The Sun and Her Flowers (Paperback),Rupi Kaur
1216,Horrid (Hardcover),Katrina Leno
1217,"The Near Witch (The Near Witch, #1)",Victoria Schwab
1218,"A Study in Charlotte (Charlotte Holmes, #1)",Brittany Cavallaro
1219,"Warbreaker (Warbreaker, #1)",Brandon Sanderson
1220,Dead Poets Society (Paperback),N.H. Kleinbaum
1221,"Delirium (Delirium, #1)",Lauren Oliver
1222,"Just Drop Out (Hannaford Prep, #1)",J. Bree
1223,The Switch (Kindle Edition),Beth O'Leary
1224,"Heart of Iron (Heart of Iron, #1)",Ashley Poston
1225,The Rage of Dragons (The Burning #1),Evan Winter
1226,"Twisted Emotions (The Camorra Chronicles, #2)",Cora Reilly
1227,"Groupie (Rock-Hard Beautiful, #1)",C.M. Stunich
1228,"Queen of Air and Darkness (The Dark Artifices, #3)",Cassandra Clare
1229,Breathless (Hardcover),Jennifer Niven
1230,The Falling in Love Montage (Hardcover),Ciara Smyth
1231,"Forest of a Thousand Lanterns (Rise of the Empress, #1)",Julie C. Dao
1232,"The School for Good and Evil (The School for Good and Evil, #1)",Soman Chainani
1233,"War of Hearts (True Immortality, #1)",S. Young
1234,"Set Fire to the Gods (Set Fire to the Gods, #1)",Sara Raasch
1235,"S.T.A.G.S (S.T.A.G.S, #1)",M.A. Bennett
1236,A Throne of Swans (A Throne of Swans #1),Katharine Corr
1237,The Memory Book (Kindle Edition),Lara Avery
1238,"The Last Namsara (Iskari, #1)",Kristen Ciccarelli
1239,"Eyes on Me (Salacious Players Club, #2)",Sara Cate
1240,The Confidence of Wildflowers (Paperback),Micalea Smeltzer
1241,"Wretched (Never After, #3)",Emily McIntire
1242,"A Magic Steeped in Poison (The Book of Tea, #1)",Judy I. Lin
1243,"The Brazen (Calamity Montana, #3)",Willa Nash
1244,"River of Shadows (Underworld Gods, #1)",Karina Halle
1245,Sinners Anonymous (Sinners Anonymous #1),Somme Sketcher
1246,Cruel Princes (Princes of Devil's Creek Book 1),Jillian Frost
1247,Something Wilder (Hardcover),Christina Lauren
1248,Tricky Magic (Tricky Magic #1),L.L. Campbell
1249,"Brutal Heir (Court University, #1)",Eden O'Neill
